system:index,date,dewpoint_temperature_2m,potential_evaporation_sum,runoff_sum,surface_pressure,surface_runoff_sum,surface_solar_radiation_downwards_sum,temperature_2m,total_precipitation_sum,u_component_of_wind_10m,v_component_of_wind_10m,volumetric_soil_water_layer_1,.geo
20250323,2025-03-23,296.308759181255,-0.01858396613496845,1.2027038871876566E-4,100255.99731859114,2.7120328319231788E-5,2.140714445618464E7,300.8802290782431,0.003309127211086237,-0.07900054891288014,-0.4811985184616417,0.4080893478366042,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250324,2025-03-24,296.7664088386658,-0.01769470490630766,1.0772590017301533E-4,100144.17506587895,1.6374248182390986E-5,2.229532878543095E7,301.126390876958,0.002523307655956442,0.021976433990809577,-0.025633576312078295,0.3986985301409709,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250325,2025-03-25,296.49073255043476,-0.019224606036570287,9.899834433575208E-5,99990.70009453369,9.498154906387413E-6,2.2352711856473137E7,301.1120787591999,0.0016455909156877638,0.30851456697406443,0.18323529997558635,0.3859988642592947,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250326,2025-03-26,296.62806351371984,-0.01637396330985832,1.0985069130028451E-4,99949.57211407527,2.2161138044811954E-5,2.1470919489361707E7,300.61027668708664,0.003276780277678477,0.07115159563210624,-0.1117347365804756,0.38332923293500626,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250327,2025-03-27,296.7782006805397,-0.017171844294623182,1.0164657569387265E-4,99910.24965364258,1.5674076310744842E-5,2.260210748539488E7,300.95437900067697,0.002370521332653695,0.2422281878687238,-0.39709022425160795,0.3856289926981293,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250328,2025-03-28,297.0007007803851,-0.018462542026665425,9.733582774611788E-5,99844.09248372045,1.3085377052979826E-5,2.2758129328525066E7,301.5283116309571,0.002067759801565506,0.2798617019692297,-0.37654986957873804,0.3798199902504793,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250329,2025-03-29,296.5971805039673,-0.020632939096815614,8.699441113026618E-5,99823.53553260045,4.487224339665036E-6,2.381057454922467E7,301.74247290873444,7.794404037993525E-4,0.5571403916115114,-0.34962558747770855,0.37101754295036393,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250330,2025-03-30,296.617809870679,-0.021095456444653975,8.44005585318647E-5,99913.15369149786,3.6623808523398896E-6,2.355809285070321E7,301.9255763282139,6.505047715008712E-4,0.5434095029834373,-0.21159595919566773,0.3584508209191832,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250331,2025-03-31,296.51168752923184,-0.02048354597377339,8.87155597320843E-5,99903.14008706303,9.74849763864049E-6,2.2730717855030652E7,301.66490006472645,0.00166726819314296,0.4744162627718945,-0.030618184059052273,0.3478921937718961,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250401,2025-04-01,296.4390275553738,-0.016337230645746176,9.669821603264654E-5,99870.53594381554,1.9289475247355268E-5,2.0535255268301483E7,300.78531667455087,0.0032610759514989855,0.16261207214813564,0.44381376027287106,0.3553617697292859,"{""type"":""MultiPoint"",""coordinates"":[]}"
